i y t x
"1" 1 1 3 7.5
"2" 2 1 11 7.5
"3" 3 1 2 7
"4" 4 1 10 8
"5" 5 2 10 6.25
"6" 6 1 8 6.5
"7" 7 2 7 8
"8" 8 1 12 7
"9" 9 1 10 9.5
"10" 10 2 6 6.5
"11" 11 1 6 9
"12" 12 1 2 10
"13" 13 1 13 6
"14" 14 3 9 6.75
"15" 15 5 4 10.3
"16" 16 1 9 7.5
"17" 17 5 3 8.8
"18" 18 4 10 9
"19" 19 2 8 7
"20" 20 2 10 9.25
"21" 21 1 10 6.5
"22" 22 2 5 10.25
"23" 23 3 9 5.75
"24" 24 1 3 6.5
"25" 25 1 6 8
"26" 26 1 6 7.5
"27" 27 2 5 8
"28" 28 1 6 7
"29" 29 1 12 7
"30" 30 4 2 6.83
"31" 31 1 13 5
"32" 32 1 9 7.5
"33" 33 1 6 6.5
"34" 34 1 11 8
"35" 35 1 7 7
"36" 36 2 8 6
"37" 37 1 12 7.5
"38" 38 2 1 11.25
"39" 39 3 7 12.5
"40" 40 7 6 12.29
"41" 41 1 6 6.5
"42" 42 5 6 6.8
"43" 43 8 6 12.64
"44" 44 1 13 9.5
"45" 45 1 12 6.5
"46" 46 1 10 7
"47" 47 1 9 5.5
"48" 48 1 13 5.5
"49" 49 1 14 9
"50" 50 1 4 11.5
"51" 51 2 8 5
"52" 52 5 3 9.75
"53" 53 2 13 6.5
"54" 54 1 4 6.5
"55" 55 3 6 7.17
"56" 56 6 7 9.17
"57" 57 3 2 11.33
"58" 58 7 7 14.67
"59" 59 2 7 10.5
"60" 60 3 4 6
"61" 61 1 12 6.5
"62" 62 1 8 8
"63" 63 1 5 6.5
"64" 64 2 7 7
"65" 65 6 2 8.08
"66" 66 3 8 6.5
"67" 67 5 3 7.1
"68" 68 2 7 8.5
"69" 69 2 3 10.5
"70" 70 2 6 7.5
"71" 71 8 4 9.31
"72" 72 1 3 7
"73" 73 4 6 13.75
"74" 74 5 7 8.38
"75" 75 1 6 8.5
"76" 76 1 13 6.5
"77" 77 2 10 9.75
"78" 78 3 9 5.75
"79" 79 1 14 5
"80" 80 1 6 11
"81" 81 1 2 7.5
"82" 82 1 7 9
"83" 83 1 9 7.5
"84" 84 2 8 6.75
"85" 85 1 6 9.5
"86" 86 6 5 9.2
"87" 87 5 7 13.5
"88" 88 2 7 10.25
"89" 89 4 6 8.5
"90" 90 2 9 7.75
"91" 91 1 3 6
"92" 92 1 8 8.5
"93" 93 1 8 8.5
"94" 94 4 10 8.33
"95" 95 4 6 11.13
"96" 96 1 14 9.5
"97" 97 1 12 10.5
"98" 98 3 5 7.67
"99" 99 1 11 7
"100" 100 4 5 9.25
"101" 101 3 8 6.5
"102" 102 2 5 5
"103" 103 1 2 9.5
"104" 104 10 3 12.75
"105" 105 2 3 7
"106" 106 3 4 7.17
"107" 107 1 4 6
"108" 108 2 3 8.25
"109" 109 6 4 9.7
"110" 110 7 3 11.43
"111" 111 2 5 6.5
"112" 112 1 2 6.5
"113" 113 1 6 8
"114" 114 1 12 8
"115" 115 1 12 8
"116" 116 1 3 10
"117" 117 5 5 12.5
"118" 118 1 12 7
"119" 119 1 11 5.5
"120" 120 5 4 11.5
"121" 121 2 1 9.25
"122" 122 1 4 8
"123" 123 1 5 5.5
"124" 124 3 2 6.33
"125" 125 1 11 6
"126" 126 1 8 7
"127" 127 5 5 7.3
"128" 128 2 8 8.5
"129" 129 1 4 7.5
"130" 130 4 4 8.83
"131" 131 3 2 12.5
"132" 132 1 13 5
"133" 133 1 14 4
"134" 134 1 5 9
"135" 135 3 5 11.33
"136" 136 3 4 9.25
"137" 137 2 13 7
"138" 138 3 4 6.67
"139" 139 2 4 12.5
"140" 140 7 2 11.83
"141" 141 1 11 8
"142" 142 2 3 13.5

